CATEGORIA;CLASSE;TIPOLOGIA DOCUMENTARIA;CONSERVAZIONE
1;1;CIRCOLARI EMANATE DAL COMUNE: REPERTORIO ANNUALE;PERMANENTE
1;1;CIRCOLARI PERVENUTE: REPERTORIO ANNUALE;PERMANENTE
1;1;PARERI CHIESTI DAL COMUNE SU LEGGI SPECIFICHE;PERMANENTE
1;10;COSTITUZIONE DELLE RAPPRESENTANZE DEL PERSONALE;PERMANENTE
1;10;RAPPORTI DI CARATTERE GENERALE;PERMANENTE
1;10;VERBALI DELLA DELEGAZIONE TRATTANTE PER LA CONTRATTAZIONE INTEGRATIVA DECENTRATA;PERMANENTE
1;11;CONTROLLI;PERMANENTE
1;12;COMUNICATI STAMPA;PERMANENTE
1;12;PUBBLICAZIONI ISTITUZIONALI DEL COMUNE (LIBRI, RIVISTE, INSERZIONI O ALTRO);PERMANENTE
1;12;PUBBLICAZIONI ISTITUZIONALI DEL COMUNE (MATERIALI PREPARATORI);2 ANNI
1;13;CONCESSIONE DELL’USO DEL SIGILLO: UN FASC. ANNUALE;PERMANENTE
1;13;INIZIATIVE SPECIFICHE: UN FASC. PER CIASCUNA INIZIATIVA;PERMANENTE
1;13;ONORIFICENZE (CONCESSE E RICEVUTE): UN FASC. PER CIASCUN EVENTO;PERMANENTE
1;14;GEMELLAGGI;PERMANENTE
1;14;INIZIATIVE SPECIFICHE (AD ESEMPIO, ADESIONE A MOVIMENTI DI OPINIONE): UN FASC. PER CIASCUN AFFARE;PERMANENTE
1;14;PROMOZIONE DI COMITATI: UN FASC. PER CIASCUN AFFARE;PERMANENTE
1;15;COSTITUZIONE DI ENTI CONTROLLATI DAL COMUNE (COMPRENSIVO DELLA NOMINA DEI RAPPRESENTANTI E DEI VERBALI INVIATI PER APPROVAZIONE);PERMANENTE, PREVIO SFOLTIMENTO DEL CARTEGGIO DI CARATTERE TRANSITORIO
1;15;PARTECIPAZIONE DEL COMUNE A ENTI E ASSOCIAZIONI (COMPRENSIVO DELLA NOMINA DEI RAPPRESENTANTI);PERMANENTE, PREVIO SFOLTIMENTO DEL CARTEGGIO DI CARATTERE TRANSITORIO
1;17;ALBO DELL’ASSOCIAZIONISMO: ELENCO DELLE ASSOCIAZIONI ACCREDITATE;PERMANENTE
1;17;FASCICOLI DELLE ASSOCIAZIONI CHE CHIEDONO L’ISCRIZIONE ALL’ALBO;PERMANENTE
